station_id,station_name
C0G620,芬園 (Fenyuan)
C0G640,鹿港 (Lukang)
C0G650,員林 (Yuanlin)
C0G660,溪湖 (Xihu)
C0G860,社頭 (Shetou)
C0G870,芳苑 (Fangyuan)
C0G880,二水 (Ershui)
C0G890,伸港 (Shenggang)
C0G900,線西 (xianxi)
C0G910,花壇 (Huatan)
C0G720,溪州 (Xizhou)
C0G730,二林 (Erlin)
C0G740,大城 (Dacheng)
C0G750,竹塘 (Zhutang)
C0G760,高鐵彰化 (THSR Changhua)
C0G770,福興 (Fuxing)
C0G780,秀水 (Xiushui)
C0G800,埔鹽 (Puyan)
C0G810,埔心 (Puxin)
C0G820,田尾 (Tianwei)
C0G830,埤頭 (Pitou)
C0G840,北斗 (Beidou)
