品名,波動率,平均價格,分群
新西蘭葉,7.65,39.19,2
星點木,75.42,49.06,3
葉蘭,68.04,140.36,1
五彩千年木,69.23,97.5,1
八角金盤,66.82,319.12,1
蓮蓬,115.52,126.82,4
扁柏,103.68,406.55,4
鋸齒蔓綠絨葉,8.11,36.97,2
龜背觀音蓮葉,6.52,23.0,2
香冠柏,114.73,82.8,4
觀賞南瓜,78.92,86.17,3
高梁,18.55,32.34,2
新文竹,34.94,85.85,2
牛頭茄,74.92,40.04,3
三角尤加利,7.89,31.67,2
水燭花,44.92,111.31,1
桃花,60.87,127.33,1
茶花,131.03,29.0,0
白斑征木,62.31,64.2,1
斑葉女真,18.0,41.67,2
新西蘭株,12.82,29.25,2
紅茄,77.54,58.04,3
山蘇葉,91.68,285.79,3
觀賞辣椒,76.61,39.16,3
孔雀竹竽,4.82,41.45,2
百合竹,73.79,811.81,3
洛神葵,26.44,33.09,2
小米,27.41,72.95,2
天堂鳥葉,63.82,62.68,1
雪松,65.01,107.67,1
米柳,7.96,62.8,2
斑春葉,14.29,35.0,2
黃金側柏,5.88,21.25,2
青蘋果,34.5,22.46,2
圓葉,23.23,24.75,2
春樹蘭,49.28,125.81,1
紐西蘭麻,68.49,80.31,1
珠廉,19.31,45.31,2
綠春蘭葉,102.3,175.95,4
黃椰心,43.34,46.15,1
綠征木,58.7,38.33,1
傘高梁,7.65,65.33,2
水燭葉,42.95,468.01,1
斑葉蘭,73.27,66.19,3
山防風,83.36,57.58,3
葉牡丹,96.01,262.48,4
高山羊齒,49.35,60.79,1
青竹,80.67,74.38,3
紅竹,64.94,86.24,1
白竹,55.6,971.24,1
花竹,71.04,26.75,1
落花生,116.08,360.32,4
蛋黃果,74.27,313.74,3
黃金果,98.0,380.34,4
酪梨,136.68,1811.11,0
奇異果,91.17,3482.25,3
香瓜梨,127.56,219.9,0
香櫞,65.57,25.93,1
橄欖,88.76,79.99,3
栗子,146.69,85.9,0
波羅蜜,131.8,361.14,0
柚子,35.44,5236.37,2
葡萄柚,96.79,760.37,4
西施柚,104.05,794.84,4
木瓜,100.14,6227.51,4
進口康乃馨,77.93,168.11,3
進口大菊,100.44,159.29,4
進口小菊,83.69,282.6,3
進口其它花卉,94.67,471.89,3
進口連翹,75.38,92.86,3
進口水仙百合,79.06,43.01,3
進口針墊花,68.63,754.75,1
進口狐尾百合,115.03,66.07,4
進口夕霧草,17.65,17.0,2
進口帝王花,103.17,154.61,4
進口丹頂,101.45,281.43,4
進口牡丹花,82.75,193.06,3
進口大飛燕草,129.45,121.67,0
進口泡盛草,110.84,106.46,4
進口愛麗絲,74.26,33.67,3
進口孤挺花,80.03,151.81,3
進口小蒼蘭,66.02,15.15,1
進口繡球花,133.91,480.93,0
進口龍膽,98.89,91.52,4
進口陸蓮花,112.06,165.09,4
進口風信子,97.01,57.72,4
進口臘梅,100.27,106.21,4
進口鬱金香,87.82,28.47,3
進口海芋,49.67,20.13,1
進口金翠花,50.47,49.53,1
進口虎頭蘭,97.08,153.47,4
進口石斛蘭,119.19,343.99,4
進口玫瑰,60.82,37.82,1
進口洋桔梗,69.51,111.5,1
進口滿天星,95.86,382.84,4
進口切葉類,69.95,243.03,1
進口尤加利葉,152.43,171.23,0
進口樺木,54.94,136.51,1
進口葉牡丹,82.14,248.35,3
進口高山羊齒,77.29,331.88,3
荔枝,85.72,835.9,3
龍眼,64.77,861.46,1
枇杷,193.16,685.44,0
甘藍,81.76,20752.83,3
小白菜,131.53,4967.3,0
包心白菜,126.34,10224.06,0
包心白,108.63,7456.91,4
青江白菜,158.64,8200.14,0
皇宮菜,149.67,477.05,0
蕹菜,128.82,3797.68,0
芹菜,129.42,1983.87,0
菠菜,71.99,5507.99,3
萵苣菜,107.06,2802.18,4
芥菜,103.61,2300.93,4
芥藍菜,113.56,2149.55,4
茼蒿,102.02,2496.55,4
莧菜,100.25,1887.24,4
油菜,127.47,3894.91,0
甘藷葉,106.67,9546.62,4
芫荽,135.26,1645.74,0
九層塔,110.85,1663.44,4
羅勒,105.03,27.61,4
紅鳳菜,92.38,750.45,3
塌棵菜,72.15,24.95,3
茴香,89.26,266.63,3
海菜,90.23,492.65,3
菾菜,84.51,45.56,3
巴西利,133.03,133.8,0
蕨菜,146.42,250.65,0
西洋菜,27.72,72.16,2
黑甜仔菜,63.76,18.82,1
豬母菜,27.98,12.51,2
人參葉,49.85,13.54,1
珍珠菜,15.91,12.57,2
香椿,28.65,8.73,2
藤川七,105.91,115.19,4
楊桃,126.42,665.04,0
洋菇,122.24,542.76,0
草菇,102.3,50.83,4
濕木耳,203.33,512.96,0
濕香菇,42.06,35.67,1
溼香菇,90.4,1319.45,3
金絲菇,87.82,1332.83,3
蠔菇,97.02,123.95,4
巴西蘑菇,107.9,35.91,4
松茸,5.42,41.51,2
秀珍菇,109.25,388.1,4
杏鮑菇,178.71,1946.69,0
鴻禧菇,135.05,475.37,0
珊瑚菇,149.24,86.27,0
猴頭菇,138.57,98.87,0
柳松菇,162.77,32.56,0
其他菇類,77.79,1256.6,3
李,108.31,759.78,4
梨,89.8,2975.77,3
西洋梨,126.78,820.31,0
鹹菜,84.47,1917.65,3
雪裡紅,125.69,548.96,0
其他蔬菜,96.35,3216.53,4
蘿蔔乾,141.56,278.33,0
醃瓜,115.68,208.77,4
熟筍,8.47,779.2,2
桶筍,96.13,66.58,4
筍乾,106.19,62.15,4
筍絲,73.31,114.59,3
筍片,56.66,63.54,1
筍茸,38.11,488.01,2
朴菜,88.17,81.66,3
番石榴,64.49,9138.06,1
蓮霧,41.87,2478.75,1
芒果,76.98,4148.4,3
葡萄,106.58,2948.9,4
蘿蔔,103.95,11116.42,4
胡蘿蔔,112.96,9130.77,4
馬鈴薯,99.66,4347.16,4
洋蔥,102.51,7946.67,4
青蔥,119.36,3605.81,4
韭菜,114.09,1390.56,4
大蒜,90.01,1531.29,3
竹筍,109.15,2731.07,4
